budget_,impressions_itp_Brand Awareness,impressions_itp_Link Clicks,impressions_itp_Post Engagement,impressions_itp_Reach,impressions_itp_Video Views,reach_itp_Brand Awareness,reach_itp_Link Clicks,reach_itp_Post Engagement,reach_itp_Reach,reach_itp_Video Views,reach_lower_bound_pct_ipt_Brand Awareness,reach_lower_bound_pct_ipt_Link Clicks,reach_lower_bound_pct_ipt_Post Engagement,reach_lower_bound_pct_ipt_Reach,reach_lower_bound_pct_ipt_Video Views,reach_upper_bound_pct_ipt_Brand Awareness,reach_upper_bound_pct_ipt_Link Clicks,reach_upper_bound_pct_ipt_Post Engagement,reach_upper_bound_pct_ipt_Reach,reach_upper_bound_pct_ipt_Video Views,frequency_itp_Brand Awareness,frequency_itp_Link Clicks,frequency_itp_Post Engagement,frequency_itp_Reach,frequency_itp_Video Views,weekly_freq_itp_Brand Awareness,weekly_freq_itp_Link Clicks,weekly_freq_itp_Post Engagement,weekly_freq_itp_Reach,weekly_freq_itp_Video Views,cpm_itp_Brand Awareness,cpm_itp_Link Clicks,cpm_itp_Post Engagement,cpm_itp_Reach,cpm_itp_Video Views
10528,49215780.71,44128194.38,20868286.36,60833905.71,6775291.981,15809739.41,12719369.46,11350808.61,23638273.72,4047218.463,0.153791239,0.123729275,0.110416426,0.229944297,0.039369829,0.180889467,0.145530543,0.129871952,0.270460798,0.046306847,3.11299441,3.469363899,1.838413857,2.573533194,1.674073122,0.778248603,0.867340975,0.459603464,0.643383298,0.418518281,0.210351049,0.238576762,0.504497581,0.171565965,1.553881369
20528,90663923.79,82768241.03,40150477.54,111543576.4,12834617.58,24979891.21,23125167.56,16924103.84,37871706.64,7595053.354,0.242995051,0.224952992,0.16463136,0.368401816,0.073881842,0.285811112,0.264590018,0.193639632,0.433314721,0.086899924,3.629450416,3.57914104,2.372337246,2.945285281,1.689865081,0.907362604,0.89478526,0.593084312,0.73632132,0.42246627,0.226045428,0.248017821,0.504497611,0.182009428,1.553881125
30528,127689603,118933829.2,60305810.68,156229088.5,19646285.43,32264053.84,32092694.59,21725437.54,42934464.46,10829092.23,0.313852664,0.312185745,0.211336941,0.417650433,0.105341364,0.369153934,0.367193302,0.2485748,0.491241012,0.123902657,3.957637671,3.705944528,2.775782105,3.63873257,1.814150666,0.989409418,0.926486132,0.693945526,0.909683143,0.453537666,0.239079413,0.255026547,0.504497654,0.19540232,1.553881529
40528,160929330.1,154083025.8,80333381.24,195104193.4,26081785.27,38314451.52,39930293.26,26466191.85,47086088.1,13339731.86,0.372708672,0.388426977,0.257453228,0.458035876,0.129763929,0.438380452,0.456868344,0.30281684,0.538742427,0.152628511,4.200222144,3.858799097,3.035303283,4.143545662,1.95516846,1.050055536,0.964699774,0.758825821,1.035886415,0.488792115,0.251837001,0.261269286,0.504497624,0.207723579,1.553881361
50528,191139456.6,188432299.6,99561118.65,228171589.4,32517283.07,43353930.01,46500796.56,30774675.45,51004501.57,15707240.88,0.421730837,0.452342379,0.299364547,0.496152739,0.152794172,0.496040389,0.532045727,0.352112991,0.583575533,0.179716715,4.408805554,4.052232399,3.235153205,4.473546227,2.070158416,1.102201389,1.0130581,0.808788301,1.118386557,0.517539604,0.264350606,0.268149069,0.504497646,0.221446203,1.553881359
60528,218811122.8,217845160.6,118903884,252053631.3,38355596.84,47858763.04,51071261.06,34843428.09,53816856.85,17521773.9,0.46555217,0.49680215,0.338943853,0.523510281,0.170445271,0.547583101,0.584339371,0.398666225,0.615753511,0.200477962,4.572012834,4.265508601,3.412519597,4.683541469,2.189016425,1.143003208,1.06637715,0.853129899,1.170885367,0.547254106,0.276621546,0.2778481,0.50449765,0.240138847,1.553881439
70528,241214305.8,239073631.5,138789026.5,272342267.3,45308741.75,51328751.22,53982185.04,38751932.35,56227520.78,19503375.89,0.499306918,0.525118532,0.376964322,0.546960319,0.189721555,0.587285483,0.617645138,0.443385954,0.643335478,0.223150754,4.699393783,4.428737166,3.581470594,4.84357244,2.323072496,1.174848446,1.107184291,0.895367648,1.21089311,0.580768124,0.29032098,0.294719671,0.504497666,0.258967483,1.553881377
80528,258457484.4,258056569.4,159373424.8,289340311.2,51823770.97,53912215.25,56346384.83,42504310.62,58218858.38,21105028.36,0.524437892,0.548116584,0.413466057,0.566331307,0.205301832,0.616844568,0.644695479,0.486319343,0.666119661,0.241476297,4.79403924,4.579812751,3.749570484,4.969865221,2.455510692,1.19850981,1.144953188,0.937392621,1.242466305,0.613877673,0.311570299,0.312053144,0.504497661,0.275886936,1.55388152
90528,273666546.3,274747897.5,179441856.9,307272963.5,57478181.11,56148463.72,58093256.3,45889585.96,60255729.33,22384317.29,0.546191281,0.565109497,0.446396751,0.586145227,0.217746277,0.642430935,0.664682566,0.525052471,0.689424821,0.25611347,4.873973257,4.729411232,3.910293734,5.099468556,2.567769065,1.218493314,1.182352808,0.977573433,1.274867139,0.641942266,0.330793961,0.327599218,0.504497677,0.29461417,1.55388146
100528,287227412.7,290991092.4,199263555.6,322501717,64694766.89,58072366.54,59615664.07,48976791.73,61933427.36,23902809.9,0.564906289,0.579918911,0.476427935,0.602465247,0.232517606,0.664443553,0.68210142,0.560375191,0.70862045,0.273487528,4.946018415,4.881102804,4.068518993,5.207225414,2.70654191,1.236504604,1.220275701,1.017129748,1.301806353,0.676635478,0.348969016,0.343280313,0.504497672,0.311711206,1.553881478
110528,299196493,306786600.1,215717472.3,336560269.1,70839936.74,59728308.96,61157634.75,51330561.14,63472971.24,25178994.76,0.581014679,0.594918626,0.499324525,0.617441354,0.244931856,0.683390263,0.699744105,0.587306191,0.726235369,0.288089185,5.009290471,5.016310855,4.202507037,5.302411557,2.813420829,1.252322618,1.254077714,1.050626759,1.325602889,0.703355207,0.365506941,0.360272557,0.512371947,0.328402532,1.553881399
120528,312370107,320181641.9,228917119.6,348985787.4,76699260.2,61520748.76,62473321.56,53097898.16,64824487.98,26385397.71,0.598450863,0.607717136,0.516516519,0.630588405,0.256667293,0.703898727,0.714797729,0.607527439,0.741698947,0.301892422,5.077469414,5.125079196,4.311215145,5.383538453,2.90687404,1.269367354,1.281269799,1.077803786,1.345884613,0.72671851,0.384164893,0.376431712,0.526510946,0.344206098,1.55388148
130528,323600063.5,330541180.4,240256853.4,361223419.6,84001263.4,63016383.27,63489295.69,54547247.8,66150101.1,27874024.47,0.612999837,0.617600153,0.530615251,0.643483474,0.271148098,0.72101125,0.726422147,0.624110387,0.756866145,0.318924765,5.135168501,5.20624821,4.404561582,5.460653044,3.013590444,1.283792125,1.301562052,1.101140395,1.365163261,0.753397611,0.400820012,0.389789347,0.538130924,0.360725035,1.553881391
140528,335424030.6,344059722.4,254611095.3,372710405.5,90436756.09,64550837.16,64851116.79,56272724.86,67395703.61,29155447.86,0.627926432,0.63084744,0.547400047,0.65560023,0.283613306,0.738567931,0.742003625,0.643852687,0.77111789,0.33358636,5.196270769,5.305368276,4.524590324,5.530176103,3.101865397,1.299067692,1.326342069,1.131147581,1.382544026,0.775466349,0.418953473,0.408436774,0.5519317,0.377041557,1.553881476
150528,345724944.8,354676608.9,266990911.5,383107250,96872254.37,65854774.54,65947814.1,57661978,68522943.31,30436872.36,0.640610647,0.641515701,0.560914183,0.666565596,0.296078525,0.753487123,0.754551649,0.659748032,0.78401537,0.348247967,5.249801706,5.378130521,4.630261272,5.590926469,3.1827091,1.312450427,1.34453263,1.157565318,1.397731617,0.795677275,0.435394963,0.42440508,0.563080267,0.392910025,1.55388146
160528,353903974.2,364623159.1,278890404.3,392741436.8,103307754.4,66871810.14,66992409.24,58933308.5,69570123.54,31694991.49,0.65050399,0.651677133,0.573281211,0.676752175,0.308317038,0.765123686,0.766503538,0.674294148,0.795996837,0.362642923,5.292273395,5.442749457,4.732290867,5.645257703,3.259416161,1.323068349,1.360687364,1.183072717,1.411314426,0.81485404,0.448806012,0.440255555,0.573324965,0.408735985,1.553881419
170528,364862659.9,373166713.2,291994960.8,401414490.3,109098794.1,68200918.25,67903326.15,60266972.14,70514120.63,32744778.55,0.663433057,0.660538192,0.586254593,0.685935026,0.318528974,0.780330872,0.776925928,0.689553457,0.806797719,0.374654217,5.349815744,5.495550941,4.845007249,5.692674393,3.331776429,1.337453936,1.373887735,1.211251812,1.423168598,0.832944107,0.467373466,0.454333795,0.584006741,0.423550469,1.553881428
180528,371905924.4,382959279.5,302230526.7,408827692.8,116178749.4,69031232.83,68969106.23,61261741.19,71321950.67,34028217.42,0.671510047,0.670905703,0.595931335,0.693793294,0.331013788,0.789831039,0.789120209,0.700935254,0.816040625,0.389338872,5.387501739,5.552615716,4.933425457,5.732141632,3.414171373,1.346875435,1.388153929,1.233356364,1.433035408,0.853542843,0.479803412,0.471400026,0.591939063,0.436695656,1.553881419
190528,382187553.9,391345772.5,316245009.2,418707549,121829199.1,70216906.95,69886971.83,62572074.41,72400300.73,35052518.62,0.683043842,0.679834356,0.608677767,0.704283081,0.340977808,0.803397105,0.799622103,0.715927625,0.828378727,0.401058565,5.442948454,5.599687585,5.054084137,5.783229095,3.475608954,1.360737113,1.399921896,1.263521034,1.445807274,0.868902238,0.498515378,0.486848923,0.602468149,0.455038176,1.553881429
200528,389455782.9,399317347.2,328075024.6,424871985.2,129049743.7,71036296.82,70760438.72,63664977.47,73074695.53,36305685.34,0.691014561,0.688331116,0.619309119,0.710843342,0.353168145,0.812772275,0.809616004,0.728432237,0.836094914,0.415396857,5.482483224,5.643221081,5.153138097,5.814212422,3.554525328,1.370620806,1.41080527,1.288284524,1.453553106,0.888631332,0.512131703,0.502172615,0.611224244,0.466928788,1.553881427
210528,397541925.7,407006218.1,339664857.3,433418189.3,135485237.8,71921008.08,71608152.05,64738434.08,74015905.87,37395135.37,0.699620701,0.696577355,0.629751304,0.719999084,0.363765908,0.822894829,0.819315241,0.740714349,0.846863912,0.427861961,5.527471996,5.683791243,5.246719148,5.855737225,3.623056985,1.381867999,1.420947811,1.311679787,1.463934306,0.905764246,0.527875989,0.517256291,0.619809555,0.484424302,1.553881467
220528,405490735.7,414422011.5,348923750.2,440761908,141920738,72769635.07,72426638.81,65584662.61,74827277.05,38484586.39,0.707875828,0.704539288,0.637983099,0.7278918,0.374363681,0.83260452,0.828680078,0.750396597,0.856147335,0.440327075,5.572244692,5.721955211,5.320200663,5.890388254,3.68771298,1.393061173,1.430488803,1.330050166,1.472597063,0.921928245,0.543850131,0.532133653,0.626584417,0.500331702,1.553881435
