Country,Account currency,Gender,Age min,Age max,Campaign days,Frequency cap,Campaign objective,Included interests/behaviors,Excluded interests/behaviors,Scenario budget,Budget,Impressions,Reach,Reach (millions),Lower Reach Percentage,Upper Reach Percentage,Frequency,Weekly frequency,CPM
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],Business as usual,100000,159438902.1,38550615.3,38.6,0.803,0.945,4.135828775,2.067914388,0.627199502
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],Business as usual,100000,237557156.5,36321386.31,36.3,0.757,0.89,6.540406235,1.635101559,0.420951326
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],Business as usual,100000,321246439.5,33116622.29,33.1,0.69,0.812,9.700417888,1.212552236,0.311287497
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],Business as usual,100000,187203559.3,37169718.37,37.2,0.774,0.911,5.036451139,2.51822557,0.534177878
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],Business as usual,100000,267231505,35002447.56,35,0.729,0.858,7.634626922,1.90865673,0.374207375
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],Business as usual,100000,346903441.9,32078057.6,32.1,0.668,0.786,10.81430718,1.351788397,0.288264652
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+10 pct,110000,163511027.2,39128166.68,39.1,0.815,0.959,4.178852606,2.089426303,0.672737502
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+10 pct,110000,246516416.6,36987658.16,37,0.771,0.907,6.664818447,1.666204612,0.446217747
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+10 pct,110000,337683938.4,33725114.63,33.7,0.703,0.827,10.01280324,1.251600405,0.325748392
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+10 pct,110000,192893121.8,37791809.95,37.8,0.787,0.926,5.104095535,2.552047768,0.570263983
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+10 pct,110000,278790468.3,35641479.17,35.6,0.743,0.874,7.822056009,1.955514002,0.394561553
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+10 pct,110000,366150827.7,32658420.83,32.7,0.68,0.8,11.21146444,1.401433056,0.300422645
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+15 pct,115000,165375159.5,39389435.83,39.4,0.821,0.965,4.19846403,2.099232015,0.695388596
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+15 pct,115000,250675845.4,37301079.58,37.3,0.777,0.914,6.720324582,1.680081145,0.458759797
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+15 pct,115000,345522771.6,34007938.17,34,0.708,0.834,10.1600289,1.270003612,0.332829004
