Budget for BRAND_AWARENESS,Reach for BRAND_AWARENESS,Impressions for BRAND_AWARENESS,Frequency for BRAND_AWARENESS,Weekly Frequency for BRAND_AWARENESS,CPM for BRAND_AWARENESS,Budget forLINK_CLICKS,Reach for LINK_CLICKS,Impressions for LINK_CLICKS,Frequency forLINK_CLICKS,Weekly Frequency for LINK_CLICKS,CPM for LINK_CLICKS,% Weight Reach for BRAND_AWARENESS,% Weight Reach for LINK_CLICKS,Total Budget,% Budget for BRAND_AWARENESS,% Budget for  LINK_CLICKS,Sum of Reach (NOT deduplicated),Total Impressions,Weighted Average Frequency,Weighted Average Weekly Frequency,Total CPM,Country,Gender,Gender Label,Age min,Age max,Campaign days,Campaign weeks,Frequency Caps,Included interests,Excluded interests
0.0,0.0,0.0,0.0,0.0,0.0,30000.0,39794386.14020405,127354619.78781325,3.2003119444984836,0.8000779861246209,0.23556271496066095,0.0,1.0,30000.0,0.0,1.0,39794386.14020405,127354619.78781325,3.2003119444984836,0.8000779861246209,0.23556271496066095,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
300.0,938982.9229685299,1926313.4781587601,2.051312530851127,0.5128281327127817,0.1557378917821573,29700.0,39525363.74293059,126263795.74510579,3.194499071983008,0.798624767995752,0.23522182130463334,0.0232051917388264,0.9767948082611736,30000.0,0.01,0.99,40464346.66589912,128190109.22326455,3.167971209102797,0.7919928022756992,0.23402741585741202,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
600.0,1778344.3294613038,3829769.150137941,2.15315052838839,0.5382876320970975,0.15666740643581328,29400.0,39243317.68165851,125154604.96012074,3.189191070618682,0.7972977676546705,0.2349094546650362,0.043351347611884784,0.9566486523881151,30000.0,0.02,0.98,41021662.01111981,128984374.11025868,3.144277316932451,0.7860693292331128,0.232586312930862,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
900.0,2558647.2576045627,5713260.580255296,2.2326395327471915,0.5581598831867979,0.15752826032657233,29100.0,38961136.78685929,124045223.5554621,3.183818367786144,0.795954591946536,0.2345918622734316,0.06162477277975454,0.9383752272202455,30000.0,0.03,0.97,41519784.04446385,129758484.1357174,3.125202188203957,0.7813005470509893,0.23119875513205213,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
1200.0,3291162.5812689587,7567249.25859454,2.299055730014124,0.574763932503531,0.15857809872419548,28800.0,38678959.86226004,122935857.88383138,3.17836063827763,0.7945901595694075,0.23426850795001283,0.07841679722753331,0.9215832027724666,30000.0,0.04,0.96,41970122.443529,130503107.14242592,3.109408363585156,0.777352090896289,0.22987958414859186,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
1500.0,3991549.1425871234,9387059.661665682,2.3516688124344833,0.5879172031086208,0.1597944461912404,28500.0,38396782.9376608,121826492.1500099,3.172830155663631,0.7932075389159078,0.2339392647447059,0.09416622326706509,0.9058337767329349,30000.0,0.05,0.95,42388332.080247924,131213551.81167558,3.095504493278832,0.773876123319708,0.22863492059918886,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
1800.0,4659766.8410775205,11178675.711916246,2.3988677757419024,0.5997169439354756,0.16102086207592872,28200.0,38114601.16886844,120717107.8564643,3.167209498950457,0.7918023747376143,0.23360400609937174,0.1089382978141027,0.8910617021858973,30000.0,0.06,0.94,42774368.00994596,131895783.56838053,3.083507659484563,0.7708769148711407,0.22745230505755093,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
2100.0,5325735.056749496,12968786.636892768,2.4350588983998116,0.6087647245999529,0.16192725339670985,27900.0,37824399.41298057,119596388.94310667,3.1618840088540554,0.7904710022135139,0.23328463548571135,0.1234233710322621,0.876576628967738,30000.0,0.07,0.93,43150134.469730064,132565175.57999943,3.072176803570897,0.7680442008927243,0.22630377750977163,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
2400.0,5956045.167423823,14738637.487756234,2.47448235671442,0.618620589178605,0.16283730446547326,27600.0,37529682.58784622,118469275.39148408,3.156677915086299,0.7891694787715747,0.23297179719210107,0.13696551661601222,0.8630344833839878,30000.0,0.08,0.92,43485727.75527004,133207912.87924032,3.0632406480007455,0.7658101620001864,0.22521184629021632,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
2700.0,6583111.8338083755,16506069.34729226,2.5072922073568407,0.6268230518392102,0.16357619389518208,27300.0,37234965.76271186,117342161.88135593,3.1513949219263533,0.7878487304815883,0.23265294896818836,0.1502373493978012,0.8497626506021988,30000.0,0.09,0.91,43818077.59652024,133848231.22864819,3.054626637349501,0.7636566593373753,0.22413445231675916,MX,1 2,Female-Male,18,65,28,4.0,2 times every 7 days,[],[]
