account_id,campaign_id,campaign_name,buying_type,objective,start_time,stop_time,start_time_utc,stop_time_utc,account_currency,account_name,currency_divisor,campaign_daily_budget_curr,campaign_lifetime_budget_curr,campaign_budget_setup,campaign_daily_budget_curr_mean,campaign_daily_budget_curr_std,camp_daily_lower_bound_95,camp_daily_upper_bound_95,camp_daily_lower_bound_90,camp_daily_upper_bound_90,camp_daily_lower_bound_80,camp_daily_upper_bound_80,campaign_lifetime_budget_curr_mean,campaign_lifetime_budget_curr_std,camp_lifetime_lower_bound_95,camp_lifetime_upper_bound_95,camp_lifetime_lower_bound_90,camp_lifetime_upper_bound_90,camp_lifetime_lower_bound_80,camp_lifetime_upper_bound_80,campaign_lifetime_oulier_80,campaign_lifetime_oulier_90,campaign_lifetime_oulier_95
00000000,123456789,Campaign 1,AUCTION,OUTCOME_TRAFFIC,2023-03-02T16:30:52-0800,2023-03-31T23:59:52-0700,2023-03-03 00:30:52+00:00,2023-04-01 06:59:52+00:00,USD,"00000000, USD",100,,22500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456790,Campaign 2,AUCTION,OUTCOME_SALES,2023-02-19T13:00:04-0800,2023-03-16T13:59:04-0700,2023-02-19 21:00:04+00:00,2023-03-16 20:59:04+00:00,USD,"00000000, USD",100,,60000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,Warning,Warning,-
00000000,123456791,Campaign 3,AUCTION,OUTCOME_SALES,2022-12-07T18:00:50-0800,2022-12-20T23:59:50-0800,2022-12-08 02:00:50+00:00,2022-12-21 07:59:50+00:00,USD,"00000000, USD",100,,82500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,Warning,Warning,Warning
00000000,123456792,Campaign 4,AUCTION,OUTCOME_AWARENESS,2022-11-09T14:00:26-0800,2022-11-15T23:59:26-0800,2022-11-09 22:00:26+00:00,2022-11-16 07:59:26+00:00,USD,"00000000, USD",100,,7500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456793,Campaign 5,AUCTION,OUTCOME_AWARENESS,2022-10-21T14:00:39-0700,2022-11-03T11:59:39-0700,2022-10-21 21:00:39+00:00,2022-11-03 18:59:39+00:00,USD,"00000000, USD",100,,9000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456794,Campaign 6,AUCTION,CONVERSIONS,2022-10-12T20:00:52-0700,2022-11-03T23:59:52-0700,2022-10-13 03:00:52+00:00,2022-11-04 06:59:52+00:00,USD,"00000000, USD",100,,37500,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456795,Campaign 7,AUCTION,OUTCOME_AWARENESS,2022-10-03T06:00:48-0700,2022-10-31T11:00:48-0700,2022-10-03 13:00:48+00:00,2022-10-31 18:00:48+00:00,USD,"00000000, USD",100,,9000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456796,Campaign 8,AUCTION,OUTCOME_ENGAGEMENT,2022-09-30T14:00:36-0700,2022-10-31T23:59:36-0700,2022-09-30 21:00:36+00:00,2022-11-01 06:59:36+00:00,USD,"00000000, USD",100,,12000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456797,Campaign 9,AUCTION,CONVERSIONS,2022-07-21T12:00:09-0700,2022-08-10T23:59:09-0700,2022-07-21 19:00:09+00:00,2022-08-11 06:59:09+00:00,USD,"00000000, USD",100,,50311.5,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,-,-,-
00000000,123456798,Campaign 10,AUCTION,CONVERSIONS,2022-06-26T20:00:49-0700,2022-07-06T16:25:49-0700,2022-06-27 03:00:49+00:00,2022-07-06 23:25:49+00:00,USD,"00000000, USD",100,,60000,Lifetime budget,,,,,,,,,25470.375,20780.1351,-15258.6898,66199.4398,-8712.947245,59653.69724,-1169.758202,52110.5082,Warning,Warning,-
